,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
693,0.084593931833903,0.015507358930118969,0.0012024243672688801,0.0010795263523881746,0.005000000000000002,85,131,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 131}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
694,0.08891185124715169,0.0017909341411299498,0.003783623377482096,0.002860288435198006,0.005000000000000002,85,141,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 141}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
695,0.06598949432373047,0.00426611418723806,0.0023359457651774087,0.0004929223768513892,0.005000000000000002,85,151,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 151}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
696,0.09252715110778809,0.0062557146831812,0.0017339388529459636,0.002093200938751166,0.005000000000000002,85,161,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 161}",1.0,0.85,0.925,0.9250000000000002,0.061237243569579464,1,0.975,1.0,0.975,0.9833333333333334,0.011785113019775804
697,0.08083891868591309,0.0035297202128974853,0.0015070438385009766,0.0004078884580326251,0.005000000000000002,85,171,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 171}",1.0,0.85,0.925,0.9250000000000002,0.061237243569579464,1,0.975,1.0,0.975,0.9833333333333334,0.011785113019775804
698,0.0807199478149414,0.003233813498655162,0.0006668567657470703,0.0004715394333802588,0.005000000000000002,85,181,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 181}",1.0,0.85,0.925,0.9250000000000002,0.061237243569579464,1,0.975,1.0,0.975,0.9833333333333334,0.011785113019775804
699,0.08732469876607259,0.0058608927341911535,0.00099945068359375,0.0008160480659601754,0.005000000000000002,85,191,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 191}",1.0,0.85,0.925,0.9250000000000002,0.061237243569579464,1,0.975,1.0,0.975,0.9833333333333334,0.011785113019775804
700,0.004886150360107422,0.0010154308208591217,0.0012467702229817708,0.0012983091891658857,0.005000000000000002,86,1,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 1}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
701,0.005607128143310547,0.0034588671372759333,0.0030111471811930337,0.0028527283324275665,0.005000000000000002,86,11,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 11}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
702,0.012460072835286459,5.479594604472541e-06,0.0016889572143554688,0.0017181177637064114,0.005000000000000002,86,21,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 21}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.975,1.0,0.9625,0.9791666666666666,0.015590239111558084
703,0.01937405268351237,0.0035538522587309786,0.0016757647196451824,0.0004787205350893526,0.005000000000000002,86,31,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 31}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.975,1.0,0.9625,0.9791666666666666,0.015590239111558084
704,0.021263917287190754,0.001180288686878016,0.002270380655924479,0.0007950287967179247,0.005000000000000002,86,41,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 41}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
705,0.024707953135172527,0.0006954909383986529,0.0011719862620035808,0.0010344621835893636,0.005000000000000002,86,51,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 51}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
706,0.03652048110961914,0.005569920377095038,0.0016835530598958333,0.00046515492617895716,0.005000000000000002,86,61,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 61}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
707,0.04724224408467611,0.005623261471345385,0.0016686121622721355,0.0004721571350483414,0.005000000000000002,86,71,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 71}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
708,0.045524040857950844,0.010284626926907755,0.0024874210357666016,0.0006886814924969176,0.005000000000000002,86,81,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 81}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
709,0.04837282498677572,0.006199438621412585,0.004770755767822266,0.003413872806013044,0.005000000000000002,86,91,"{'learning_rate': 0.005000000000000002, 'max_depth': 86, 'n_estimators': 91}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
